,Scenario,id,Choice,submitdate,startlanguage,startdate,Gender,Age,MaritalStatus,Occupation,Occupation.other.,Education,Householdsize,IncomeLevel,CityCountry,Nationality,DriversLicense,Carownership,ModeOfTransport.SQ001.,ModeOfTransport.SQ002.,ModeOfTransport.SQ003.,ParkingCosts.SQ001.,CongestionCosts.SQ001.,LowIncLikert.SQ001.,AffordableTrLikert.SQ001.,Resources,interviewtime,Time_Group1,Time_Group2,Time_Group3,Time_Group4,DailyTravelCost.Alt1,DelayOfTravel.Alt1,PeopleBenefiting.Alt1,CongestionReduction.Alt1,DailyTravelCost.Alt2,DelayOfTravel.Alt2,PeopleBenefiting.Alt2,CongestionReduction.Alt2,DailyTravelCost.Alt3,DelayOfTravel.Alt3,PeopleBenefiting.Alt3,CongestionReduction.Alt3
643,S1,0359383_22,Alt1,1/28/2019 11:06,en,1/28/2019 10:58,Male,30-39 years,Married,Employed - full-employed,,University degree (Fachhochschul-/Universitätsabschluss),>4,"10,000-20,000 €","Cairo, Egypt ",Egyptian ,Yes,"yes, a privately owned/leased car",Car,Car,Car,3,3,3,3,Based on some measure of need,474.4,101.46,30.77,280.77,61.4,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
644,S1,0359383_52,Alt2,1/28/2019 15:17,en,1/28/2019 15:10,Female,30-39 years,Married,Employed - full-employed,,"High school graduated (Fachhochschulreife, Abitur, EOS 12. Klasse bzw. Berufsausbildung mit Abitur)",4,>70000 €,"Greenwood, Indiana, United States of America",American,Yes,"yes, a privately owned/leased car",Car,Car,Car,1,1,1,2,Based on some measure of need,390.28,153.14,23.85,156.51,56.78,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
645,S1,0359383_20,Alt1,1/28/2019 10:59,en,1/28/2019 10:54,Male,25-29 years,Single,Employed - full-employed,,University degree (Fachhochschul-/Universitätsabschluss),2,"40,000-50,000 €",Munich,Egyptian,Yes,"yes, a privately owned/leased car",Car,Car,Public Transport,3,4,5,5,Equally per capita,308.93,158.03,29.34,70.38,51.18,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
646,S1,0359383_100,Alt2,2/7/2019 7:56,en,2/7/2019 7:36,Male,18-24 years,Single,student (university),,"High school graduated (Fachhochschulreife, Abitur, EOS 12. Klasse bzw. Berufsausbildung mit Abitur)",1,"0-5,000 €","Munich, Germany",Austrian,Yes,no,Public Transport,Public Transport,Bike,4,4,4,3,Based on some measure of need,1196.46,259.87,57.5,747.16,131.93,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
647,S1,0359383_81,Alt1,1/29/2019 15:28,en,1/29/2019 15:25,Male,30-39 years,Married,Employed - full-employed,,University degree (Fachhochschul-/Universitätsabschluss),4,"30,000-40,000 €","Beirut, Lebanon",Lebanese,Yes,"yes, a privately owned/leased car",Car,Car,Car,5,1,1,1,Based on some measure of need,214.19,71.66,19.5,78.98,44.05,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
648,S1,0359383_102,Alt2,2/8/2019 22:45,en,2/8/2019 22:41,Male,25-29 years,Single,Employed - full-employed,,Graduate degree (MSc / PhD / etc.),2,"50,000-60000 €","Munich, Germany",German,Yes,"yes, a privately owned/leased car",Car,Car,Car,2,1,1,4,Equally per capita,238.43,73.8,19.7,106.53,38.4,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
649,S1,0359383_58,Alt2,1/28/2019 16:06,en,1/28/2019 15:54,Male,25-29 years,Married,Employed - full-employed,,University degree (Fachhochschul-/Universitätsabschluss),2,"5,000-10,000 €","Cairo, egypt",Egyptian,Yes,"yes, a privately owned/leased car",Car,Car,Car,3,1,5,1,Based on some measure of need,694.86,83.08,25.57,514.37,71.84,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
650,S1,0359383_86,Alt2,2/2/2019 1:48,en,2/2/2019 1:45,Male,18-24 years,Single,Employed - full-employed,,Graduate degree (MSc / PhD / etc.),1,"5,000-10,000 €",Munich ,Indian ,No,no,Public Transport,Public Transport,Public Transport,3,4,3,3,Based on some measure of need,220.85,47.14,29.22,110.57,33.92,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
651,S1,0359383_36,Alt3,1/28/2019 13:00,en,1/28/2019 12:54,Female,30-39 years,Married,Other,Self employed,University degree (Fachhochschul-/Universitätsabschluss),4,>70000 €,"Indianapolis, IN ",American ,Yes,"yes, a privately owned/leased car",Car,Car,Car,3,3,3,5,Based on some measure of need,360.76,99.59,20.55,196.17,44.45,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
652,S1,0359383_89,Alt2,2/2/2019 2:09,en,2/2/2019 1:59,Male,18-24 years,Single,student (university),,University degree (Fachhochschul-/Universitätsabschluss),4,"10,000-20,000 €","Munich, Germany","Belgian, Brazilian",Yes,no,Public Transport,Public Transport,Public Transport,3,2,4,5,Equally per capita,648.15,109.07,24.82,408.6,105.66,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
653,S1,0359383_77,Alt2,1/29/2019 0:36,en,1/29/2019 0:23,Female,50-64 years,Married,Employed - full-employed,,Graduate degree (MSc / PhD / etc.),2,>70000 €,"Bargersville, Indiana USA ",American ,Yes,"yes, a privately owned/leased car",Car,Car,Walking,4,3,3,4,Based on some measure of need,773.4,105.13,39.9,499.46,128.91,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
654,S1,0359383_19,Alt2,1/28/2019 12:05,en,1/28/2019 10:54,Male,30-39 years,Single,Employed - full-employed,,University degree (Fachhochschul-/Universitätsabschluss),4,"30,000-40,000 €","Cairo, Egypt ",Egyptian ,Yes,"yes, a privately owned/leased car",Car,Car,Car,2,1,2,4,Based on some measure of need,4286.76,103.18,41.85,669.24,3472.49,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
655,S1,0359383_94,Alt2,2/6/2019 22:50,en,2/6/2019 22:42,Female,18-24 years,Single,student (university),,Not graduated,4,"0-5,000 €","San Sebastian, Spain",Spanish,No,no,Public Transport,Car,Car,4,4,3,3,Based on some measure of need,466.78,106.14,58.07,238.6,63.97,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
656,S1,0359383_37,Alt2,1/28/2019 13:03,en,1/28/2019 12:55,Female,30-39 years,Married,Employed - full-employed,,Graduate degree (MSc / PhD / etc.),4,>70000 €,"West Lafayette, Indiana, United States",American ,Yes,"yes, a privately owned/leased car",Car,Car,Car,4,3,4,3,Based on some measure of need,456.94,74.73,25.42,216.71,140.08,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
657,S1,0359383_93,Alt1,2/6/2019 18:07,en,2/6/2019 18:04,Female,18-24 years,Single,student (university),,Graduate degree (MSc / PhD / etc.),1,"0-5,000 €",Hamburg,French,No,no,Public Transport,Public Transport,Public Transport,5,1,5,5,Based on some measure of need,183.81,40.36,13.39,99.8,30.26,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
658,S1,0359383_47,Alt3,1/28/2019 15:00,en,1/28/2019 14:57,Male,30-39 years,Married,Employed - full-employed,,University degree (Fachhochschul-/Universitätsabschluss),3,"0-5,000 €",Cairo,Egyptian ,Yes,"yes, a privately owned/leased car",Public Transport,Car,Car,5,5,1,3,Based on some measure of need,200.07,50.71,23.11,80.73,45.52,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
659,S1,0359383_56,Alt2,1/28/2019 15:34,en,1/28/2019 15:27,Female,30-39 years,Married,Other,Self-Employed,"High school graduated (Fachhochschulreife, Abitur, EOS 12. Klasse bzw. Berufsausbildung mit Abitur)",4,>70000 €,"Austin, United States",American,Yes,"yes, a privately owned/leased car",Car,Car,Car,5,2,1,3,Equally per capita,459.11,99.16,17.31,286.26,56.38,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
660,S1,0359383_18,Alt2,1/28/2019 11:09,en,1/28/2019 10:53,Male,30-39 years,Married,Employed - full-employed,,University degree (Fachhochschul-/Universitätsabschluss),3,"5,000-10,000 €","Cairo, Egypt",Egyptian,Yes,"yes, a company car",Car,Bike-sharing,Public Transport,1,1,1,3,Based on some measure of need,944.73,125.47,62.13,649.26,107.87,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
661,S1,0359383_27,Alt2,1/28/2019 11:27,en,1/28/2019 11:11,Male,30-39 years,Single,Employed - full-employed,,University degree (Fachhochschul-/Universitätsabschluss),3,"5,000-10,000 €","Cairo, Egypt",Egyptian,No,no,Car,Car,Car,3,3,5,2,Equally per capita,921.62,236.83,53.34,467.58,163.87,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
662,S1,0359383_99,Alt2,2/6/2019 22:56,en,2/6/2019 22:50,Male,25-29 years,Single,student (university),,University degree (Fachhochschul-/Universitätsabschluss),1,"5,000-10,000 €","Munich,Germany",Turkish,Yes,no,Public Transport,Public Transport,Public Transport,2,1,3,2,Based on some measure of need,406.59,62.94,181.7,112.26,49.69,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
663,S1,0359383_28,Alt2,1/28/2019 11:37,en,1/28/2019 11:15,Male,30-39 years,Married,Employed - full-employed,,University degree (Fachhochschul-/Universitätsabschluss),2,>70000 €,Luanda - Angola,Lebanese,Yes,"yes, a company car",Car,Walking,Walking,5,2,2,5,Based on some measure of need,1301.21,808.07,92.76,303,97.38,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
664,S1,0359383_41,Alt2,1/28/2019 13:58,en,1/28/2019 13:52,Female,30-39 years,Married,Employed - full-employed,,University degree (Fachhochschul-/Universitätsabschluss),2,I prefer not to answer,"Minneapolis, Minnesota, USA",American,Yes,"yes, a privately owned/leased car",Car,Car,Car,2,2,3,4,Based on some measure of need,367.11,71.99,25.34,211.21,58.57,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
665,S1,0359383_32,Alt2,1/28/2019 12:51,en,1/28/2019 12:38,Male,25-29 years,Single,student (university),,University degree (Fachhochschul-/Universitätsabschluss),>4,"0-5,000 €","München, Germany ",Nigerian,No,no,Public Transport,Walking,Walking,5,3,4,3,Based on some measure of need,745.4,86.97,39.3,531.78,87.35,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
666,S1,0359383_14,Alt1,1/28/2019 10:17,en,1/28/2019 10:12,Male,30-39 years,Married,Employed - full-employed,,Graduate degree (MSc / PhD / etc.),>4,"40,000-50,000 €","Manila, Philippines",Filipino,Yes,"yes, a privately owned/leased car",Public Transport,Car,Carsharing,3,4,2,4,Equally per capita,295.37,104.24,31.93,109.68,49.52,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
667,S1,0359383_96,Alt2,2/6/2019 22:52,en,2/6/2019 22:43,Female,25-29 years,Single,student (university),,Graduate degree (MSc / PhD / etc.),>4,"5,000-10,000 €","Munich, Germany",Italian,Yes,"yes, a privately owned/leased car",Public Transport,Car,Car,5,4,5,2,Equally per capita,499.52,100.36,25.66,298.27,75.23,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
668,S1,0359383_65,Alt3,1/28/2019 16:51,en,1/28/2019 16:45,Female,40-49 years,Divorced / Widowed,Employed - half-employed,,Graduated after secondary school (mittlere Reife),3,"10,000-20,000 €",Pfronten Bayern Germany,Canadian,Yes,"yes, a privately owned/leased car",Car,Car,Car,3,1,1,3,Based on some measure of need,383.98,94.51,102.39,116.15,70.93,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
669,S1,0359383_39,Alt1,1/28/2019 13:22,en,1/28/2019 13:14,Male,25-29 years,Single,Employed - full-employed,,University degree (Fachhochschul-/Universitätsabschluss),1,I prefer not to answer,"Luanda, Angola",Lebanese,Yes,"yes, a company car",Car,Car,Car,3,4,5,1,Based on some measure of need,460.32,83.68,22.07,262.71,91.86,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
670,S1,0359383_91,Alt2,2/2/2019 8:12,en,2/2/2019 8:05,Male,25-29 years,Single,student (university),,University degree (Fachhochschul-/Universitätsabschluss),2,"30,000-40,000 €",Munich,German,Yes,"yes, a privately owned/leased car",Public Transport,Car,Car,3,4,5,3,Based on some measure of need,416.66,100.15,134.44,139.42,42.65,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
671,S1,0359383_42,Alt3,1/28/2019 14:05,en,1/28/2019 14:00,Female,30-39 years,Single,Other,Freelancer,Graduate degree (MSc / PhD / etc.),2,I prefer not to answer,"Gozo (that's an island, not a city mind you) (Malta)",Swedish,No,no,Public Transport,Public Transport,Public Transport,5,5,3,5,Equally per capita,358.66,109.99,20.63,166.76,61.28,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
672,S1,0359383_23,Alt3,1/28/2019 11:07,en,1/28/2019 10:59,Male,30-39 years,Single,Employed - full-employed,,Graduate degree (MSc / PhD / etc.),3,"10,000-20,000 €",Cairo,Egyptian,Yes,"yes, a privately owned/leased car",Public Transport,Car,Car,5,1,5,5,Based on some measure of need,337.45,151.62,36.94,97.64,51.25,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
673,S1,0359383_63,Alt2,1/28/2019 16:27,en,1/28/2019 16:23,Male,25-29 years,Married,Employed - full-employed,,University degree (Fachhochschul-/Universitätsabschluss),2,"5,000-10,000 €",Egypt,Egyptian ,Yes,"yes, a privately owned/leased car",Car,Car,Car,5,5,4,3,Equally per capita,224.85,52.88,21.43,94.78,55.76,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
674,S1,0359383_49,Alt2,1/28/2019 15:12,en,1/28/2019 15:02,Male,30-39 years,Married,Employed - full-employed,,University degree (Fachhochschul-/Universitätsabschluss),3,"10,000-20,000 €",Cairo,Egyptian,Yes,"yes, a privately owned/leased car",Car,Car,Car,1,1,5,3,,573.64,77.96,88.88,360.15,46.65,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
675,S1,0359383_43,Alt2,1/28/2019 14:13,en,1/28/2019 14:07,Female,30-39 years,Married,Employed - full-employed,,"High school graduated (Fachhochschulreife, Abitur, EOS 12. Klasse bzw. Berufsausbildung mit Abitur)",>4,>70000 €,"Indianapolis, Indiana ",United States Citizen,Yes,"yes, a privately owned/leased car",Car,Car,Car,5,5,3,3,Equally per capita,349.73,94.97,37.58,163,54.18,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
676,S1,0359383_53,Alt2,1/28/2019 15:21,en,1/28/2019 15:14,Male,25-29 years,Married,Employed - full-employed,,University degree (Fachhochschul-/Universitätsabschluss),1,"0-5,000 €","Cairo,egypt",Egyptian,Yes,"yes, a privately owned/leased car",Carsharing,Car,Car,1,2,5,3,Based on some measure of need,435.61,117.71,42.76,183.3,91.84,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
677,S1,0359383_26,Alt3,1/28/2019 11:22,en,1/28/2019 11:10,Male,30-39 years,Married,Employed - full-employed,,University degree (Fachhochschul-/Universitätsabschluss),3,"5,000-10,000 €","Doha, Qatar",Egyptian ,Yes,"yes, a privately owned/leased car",Car,Car,Car,1,1,5,3,Based on some measure of need,728.52,84.99,44.58,538.41,60.54,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
678,S1,0359383_24,Alt1,1/28/2019 11:05,en,1/28/2019 11:02,Male,30-39 years,Single,Employed - full-employed,,University degree (Fachhochschul-/Universitätsabschluss),>4,"20,000-30,000 €","Cairo, Egypt",Egyptian,Yes,"yes, a privately owned/leased car",Car,Car,Car,3,3,3,3,Equally per capita,175.67,73.26,27,52.95,22.46,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
679,S1,0359383_31,Alt1,1/28/2019 12:50,en,1/28/2019 12:26,Male,30-39 years,Married,Employed - full-employed,,University degree (Fachhochschul-/Universitätsabschluss),>4,I prefer not to answer,"Doha, Qatar",Egyptian,Yes,"yes, a privately owned/leased car",Car,Car,Car,2,1,3,4,Based on some measure of need,1448.46,67.36,27.97,1274.94,78.19,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
680,S1,0359383_101,Alt2,2/8/2019 2:07,en,2/8/2019 2:02,Female,25-29 years,Single,Employed - full-employed,,Graduate degree (MSc / PhD / etc.),1,"40,000-50,000 €","MUNICH, GERMANY",German,Yes,"yes, a privately owned/leased car",Public Transport,Car,Car,1,5,3,3,Equally per capita,292.44,66.83,28.18,156.1,41.33,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
681,S1,0359383_17,Alt2,1/28/2019 10:58,en,1/28/2019 10:53,Male,25-29 years,Single,student (university),,University degree (Fachhochschul-/Universitätsabschluss),1,"0-5,000 €","Munich, Germany",Russian,Yes,no,Public Transport,Bike,Bike,4,4,5,4,Based on some measure of need,334.86,75.75,28.32,150.61,80.18,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
682,S1,0359383_54,Alt3,1/28/2019 15:29,en,1/28/2019 15:17,Female,30-39 years,Single,Employed - full-employed,,University degree (Fachhochschul-/Universitätsabschluss),>4,"10,000-20,000 €","Qalyupiya,Egypt",Egypt,No,no,Car,Car,Car,1,1,5,5,Based on some measure of need,733.57,147.28,168.96,284.06,133.27,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
683,S1,0359383_88,Alt2,2/2/2019 2:02,en,2/2/2019 1:54,Male,30-39 years,Married,Employed - full-employed,,Graduate degree (MSc / PhD / etc.),3,"50,000-60000 €","Munich, Germany",Russian,Yes,"yes, a privately owned/leased car",Public Transport,Car,Car,2,1,2,4,Based on some measure of need,517.5,167.64,56.86,235.86,57.14,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
684,S1,0359383_46,Alt2,1/28/2019 15:00,en,1/28/2019 14:40,Male,25-29 years,Single,Employed - full-employed,,University degree (Fachhochschul-/Universitätsabschluss),3,I prefer not to answer,"Cairo, Egypt",egyptian,Yes,"yes, a privately owned/leased car",Public Transport,Car,Car,5,1,5,5,Equally per capita,1206.72,131.84,50.66,939.86,84.36,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
685,S1,0359383_78,Alt1,1/29/2019 1:00,en,1/29/2019 0:48,Male,30-39 years,Single,student (university),,Graduate degree (MSc / PhD / etc.),1,"0-5,000 €","Berlin , Germany ",Egyptian ,Yes,no,Public Transport,Public Transport,Carsharing,5,5,1,3,Based on some measure of need,720.82,119.54,57.17,439.32,104.79,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
686,S1,0359383_30,Alt3,1/28/2019 12:13,en,1/28/2019 12:06,Male,30-39 years,Married,Employed - full-employed,,University degree (Fachhochschul-/Universitätsabschluss),4,I prefer not to answer,Egypt ,Egyptian ,Yes,"yes, a privately owned/leased car",Car,Walking,Car,3,3,5,5,,424.74,140.37,57.96,110.26,116.15,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
687,S1,0359383_57,Alt1,1/28/2019 16:07,en,1/28/2019 15:38,Male,30-39 years,Married,Employed - full-employed,,University degree (Fachhochschul-/Universitätsabschluss),4,"20,000-30,000 €","Giza, Egypt",Egyptian,Yes,"yes, a privately owned/leased car",Car,Car,Car,1,1,5,4,,1768.38,1651.18,21.94,37.25,58.01,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
688,S1,0359383_71,Alt2,1/28/2019 19:31,en,1/28/2019 18:54,Female,30-39 years,Married,Employed - full-employed,,University degree (Fachhochschul-/Universitätsabschluss),3,"40,000-50,000 €",Justin TX USA,White Caucasian,Yes,"yes, a privately owned/leased car",Car,Car,Car,5,4,2,5,Based on some measure of need,2252.63,58.25,14.82,149.7,2029.86,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
689,S1,0359383_85,Alt2,2/2/2019 1:55,en,2/2/2019 1:43,Male,25-29 years,Single,student (university),,Graduate degree (MSc / PhD / etc.),1,"10,000-20,000 €","Munich, Germany",German,Yes,"yes, a privately owned/leased car",Public Transport,Public Transport,Car,2,1,4,3,Based on some measure of need,676.42,170.1,65.22,357.31,83.79,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
690,S1,0359383_87,Alt2,2/2/2019 1:53,en,2/2/2019 1:47,Female,30-39 years,Single,Employed - full-employed,,Graduate degree (MSc / PhD / etc.),1,I prefer not to answer,USA ,"USA
",Yes,"yes, a privately owned/leased car",Car,Car,Car,3,3,3,4,Based on some measure of need,232.5,59.81,27.39,107.33,37.97,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
691,S1,0359383_90,Alt2,2/2/2019 7:40,en,2/2/2019 7:35,Male,18-24 years,Single,student (university),,University degree (Fachhochschul-/Universitätsabschluss),1,"50,000-60000 €","Munich, Germany",German,Yes,no,Public Transport,Walking,Public Transport,3,2,2,3,Based on some measure of need,333.51,67.28,32.96,180.99,52.28,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
692,S1,0359383_60,Alt1,1/28/2019 16:06,en,1/28/2019 16:01,Male,30-39 years,Married,Employed - full-employed,,University degree (Fachhochschul-/Universitätsabschluss),>4,I prefer not to answer,Cairo ,Egyptian ,Yes,"yes, a privately owned/leased car",Car,Car,Car,5,5,5,5,,276.42,119.28,35.3,65.23,56.61,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
693,S1,0359383_84,Alt2,1/30/2019 21:00,en,1/30/2019 20:49,Female,30-39 years,Married,housewife/househusband,,University degree (Fachhochschul-/Universitätsabschluss),2,>70000 €,"Munich, Germany",Anerican,Yes,no,Bike,Walking,Carsharing,2,2,4,2,Based on some measure of need,651.52,81.42,54.36,451.13,64.61,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
694,S1,0359383_55,Alt2,1/28/2019 15:26,en,1/28/2019 15:17,Male,30-39 years,Married,Employed - full-employed,,University degree (Fachhochschul-/Universitätsabschluss),I prefer not to answer.,I prefer not to answer,"Giza, sheikh Zayed city",Egyptian,Yes,"yes, a privately owned/leased car",Car,Car,Car,2,1,5,1,Based on some measure of need,505.41,161.66,28.02,246.2,69.53,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
