"","X","Scenario","id","Choice","submitdate","startlanguage","startdate","Gender","Age","MaritalStatus","Occupation","Occupation.other.","Education","Householdsize","IncomeLevel","CityCountry","Nationality","DriversLicense","Carownership","ModeOfTransport.SQ001.","ModeOfTransport.SQ002.","ModeOfTransport.SQ003.","ParkingCosts.SQ001.","CongestionCosts.SQ001.","LowIncLikert.SQ001.","AffordableTrLikert.SQ001.","Resources","interviewtime","Time_Group1","Time_Group2","Time_Group3","Time_Group4","DailyTravelCost.Alt1","DelayOfTravel.Alt1","PeopleBenefiting.Alt1","CongestionReduction.Alt1","DailyTravelCost.Alt2","DelayOfTravel.Alt2","PeopleBenefiting.Alt2","CongestionReduction.Alt2","DailyTravelCost.Alt3","DelayOfTravel.Alt3","PeopleBenefiting.Alt3","CongestionReduction.Alt3","RR_Total","percent_RR_Total","RR_Gr2","RR_Gr3","RR_Gr4"
"11",35,"S17","0223551_114","Alt1","2/4/2019 10:28","en","2/4/2019 10:24","Male","50-64 years","Single","Employed - full-employed","","High school graduated (Fachhochschulreife, Abitur, EOS 12. Klasse bzw. Berufsausbildung mit Abitur)","2","50,000-60000 €","munich","Greek ","Yes","yes, a company car","Car","Car","Car",3,2,2,1,"Based on some measure of need",238.63,105.8,37.99,50.66,44.18,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,2,66.6666666666667,0,1,1
"12",13,"S17","0223551_115","Alt2","2/7/2019 22:26","en","2/7/2019 22:08","Female","25-29 years","Single","student (university)","","University degree (Fachhochschul-/Universitätsabschluss)","3","5,000-10,000 €","Bonn, Germany","German","Yes","no","Public Transport","Bike","Bike",1,1,5,2,"Based on some measure of need",1097.97,125.93,134.55,769.07,68.42,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,0,0,0,0,0
"13",62,"S17","0223551_14","Alt2","1/27/2019 23:24","en","1/27/2019 23:20","Male","18-24 years","Single","student (university)","","University degree (Fachhochschul-/Universitätsabschluss)","1","0-5,000 €","Munich, Germany","Indian","No","no","Public Transport","Public Transport","Public Transport",1,1,3,1,"Equally per capita",205.19,50.35,21.39,93.2,40.25,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,3,100,1,1,1
"14",28,"S17","0223551_15","Alt1","1/27/2019 23:41","en","1/27/2019 23:26","Male","25-29 years","Single","Employed - full-employed","","Graduate degree (MSc / PhD / etc.)","1","50,000-60000 €","Munich, Germany","Russian","Yes","no","Public Transport","Public Transport","Car",5,2,5,4,"Based on some measure of need",875.98,85.3,33.68,688.46,68.54,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,0,0,0,0,0
"15",34,"S17","0223551_17","Alt3","1/28/2019 0:07","en","1/28/2019 0:02","Male","25-29 years","Single","student (university)","","University degree (Fachhochschul-/Universitätsabschluss)","I prefer not to answer.","0-5,000 €","Munich, Germany","Indian","No","no","Public Transport","Public Transport","Public Transport",2,2,5,3,"Based on some measure of need",289.91,67.44,25.53,143.31,53.63,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,0,0,0,0,0
"16",79,"S17","0223551_2","Alt2","1/27/2019 22:02","en","1/27/2019 21:41","Male","25-29 years","Single","student (university)","","University degree (Fachhochschul-/Universitätsabschluss)","1","0-5,000 €","Munich, Germany","Indian","Yes","yes, a privately owned/leased car","Bike","Car","Car",2,2,4,5,"Based on some measure of need",1266.79,365.94,43.57,682.72,174.56,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,0,0,0,0,0
"17",65,"S17","0223551_21","Alt1","1/28/2019 7:57","en","1/28/2019 7:51","Male","18-24 years","Single","student (university)","","University degree (Fachhochschul-/Universitätsabschluss)","1","I prefer not to answer","India","Indian","Yes","no","Bike","Bike","Bike",5,1,4,1,"Based on some measure of need",315.63,59.18,31.84,174.65,49.96,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,0,0,0,0,0
"18",18,"S17","0223551_25","Alt2","1/28/2019 10:54","en","1/28/2019 10:49","Male","30-39 years","Married","Employed - full-employed","","Graduate degree (MSc / PhD / etc.)","3",">70000 €","Bonn, Germany","Greek","Yes","yes, a privately owned/leased car","Car","Car","Car",2,1,3,4,"Based on some measure of need",342.97,56.25,33.57,201.19,51.96,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,0,0,0,0,0
"19",24,"S17","0223551_26","Alt2","1/28/2019 10:53","en","1/28/2019 10:49","Male","25-29 years","Married","Employed - full-employed","","University degree (Fachhochschul-/Universitätsabschluss)","2","I prefer not to answer","Bonn, Germany","Spanish","Yes","yes, a privately owned/leased car","Walking","Car","Car",3,2,1,2,"Based on some measure of need",253.78,31.15,19.39,164.01,39.23,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,2,66.6666666666667,1,0,1
"20",33,"S17","0223551_27","Alt2","1/28/2019 11:04","en","1/28/2019 10:54","Male","30-39 years","Single","Employed - full-employed","","Graduate degree (MSc / PhD / etc.)","1","30,000-40,000 €","Zyrardow, Poland","Poland","Yes","yes, a company car","Car","Car","Walking",4,2,2,4,"Equally per capita",576.77,260.37,41.01,222.32,53.07,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,0,0,0,0,0
"21",2,"S17","0223551_28","Alt3","1/28/2019 11:37","en","1/28/2019 11:15","Male","30-39 years","Married","Employed - full-employed","","Graduate degree (MSc / PhD / etc.)","4","20,000-30,000 €","Warsaw, Poland","Polish","Yes","yes, a company car","Car","Car","Walking",5,4,1,1,"Based on some measure of need",1314.32,504.31,53.03,673.85,83.13,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,0,0,0,0,0
"22",8,"S17","0223551_29","Alt1","1/28/2019 11:35","en","1/28/2019 11:19","Male","25-29 years","Single","Employed - full-employed","","University degree (Fachhochschul-/Universitätsabschluss)","1","40,000-50,000 €","Bonn, Germany","German","Yes","yes, a privately owned/leased car","Bike","Car","Car",3,1,4,2,"Based on some measure of need",961.83,59.55,23.42,711.13,167.73,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,0,0,0,0,0
"23",17,"S17","0223551_3","Alt1","1/27/2019 21:57","en","1/27/2019 21:42","Female","18-24 years","I prefer not to answer","student (university)","","High school graduated (Fachhochschulreife, Abitur, EOS 12. Klasse bzw. Berufsausbildung mit Abitur)",">4","0-5,000 €","Ioannina,Greece ","Greek ","No","no","Public Transport","Public Transport","Walking",5,5,5,3,"Based on some measure of need",879.5,387,76.07,184.38,232.05,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,0,0,0,0,0
"24",26,"S17","0223551_30","Alt1","1/28/2019 11:40","en","1/28/2019 11:34","Male","25-29 years","Single","Employed - full-employed","","University degree (Fachhochschul-/Universitätsabschluss)","2","50,000-60000 €","Bonn, Germany","German","Yes","yes, a privately owned/leased car","Bike","Car","Car",2,2,2,3,"Based on some measure of need",395.73,51.99,24.54,270.66,48.54,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,0,0,0,0,0
"25",60,"S17","0223551_31","Alt3","1/28/2019 11:51","en","1/28/2019 11:42","Male","30-39 years","Married","Employed - full-employed","","Graduate degree (MSc / PhD / etc.)","2","I prefer not to answer","Madrid, Spain","Brazilian","Yes","yes, a privately owned/leased car","Car","Walking","Public Transport",2,2,1,4,"Based on some measure of need",518.17,49.73,36.26,380.21,51.97,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,0,0,0,0,0
"26",68,"S17","0223551_32","Alt3","1/28/2019 12:56","en","1/28/2019 12:45","Male","50-64 years","Married","Employed - full-employed","","Graduate degree (MSc / PhD / etc.)","2",">70000 €","Rotterdam, NL","NL","Yes","yes, a privately owned/leased car","Car","Walking","Walking",2,5,2,4,"Based on some measure of need",647.53,71.91,44.37,439.29,91.96,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,0,0,0,0,0
"27",38,"S17","0223551_33","Alt1","1/28/2019 13:09","en","1/28/2019 12:58","Male","25-29 years","Single","student (university)","","University degree (Fachhochschul-/Universitätsabschluss)","1","5,000-10,000 €","Munich, Germany","Greek","Yes","no","Public Transport","Walking","Public Transport",4,5,4,3,"Based on some measure of need",662.76,47.76,28.45,528.86,57.69,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,0,0,0,0,0
"28",44,"S17","0223551_34","Alt2","1/28/2019 13:27","en","1/28/2019 13:18","Female","30-39 years","Single","Employed - half-employed","","High school graduated (Fachhochschulreife, Abitur, EOS 12. Klasse bzw. Berufsausbildung mit Abitur)","3","I prefer not to answer","Munich","german","Yes","no","Bike","Public Transport","Walking",3,4,4,3,"Based on some measure of need",489.14,53.78,32.74,357.7,44.92,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,1,33.3333333333333,0,0,1
"29",66,"S17","0223551_35","Alt1","1/28/2019 13:23","en","1/28/2019 13:19","Female","25-29 years","Single","Employed - full-employed","","Graduate degree (MSc / PhD / etc.)","1","40,000-50,000 €","Munich, Germany","German","Yes","no","Public Transport","Bike","Bike",4,2,2,2,"Based on some measure of need",260.4,47.28,22.45,141.44,49.23,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,1,33.3333333333333,1,0,0
"30",36,"S17","0223551_36","Alt1","1/28/2019 13:30","en","1/28/2019 13:19","Male","40-49 years","Married","Employed - full-employed","","University degree (Fachhochschul-/Universitätsabschluss)","3","I prefer not to answer","Bichl, Germany","German","Yes","yes, a company car","Car","Car","Walking",5,2,4,2,"Based on some measure of need",632.33,147.88,41.92,295.79,146.74,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,0,0,0,0,0
"31",42,"S17","0223551_37","Alt2","1/28/2019 13:29","en","1/28/2019 13:19","Male","30-39 years","Single","Employed - full-employed","","University degree (Fachhochschul-/Universitätsabschluss)","2","40,000-50,000 €","Munich, Germany","German","Yes","yes, a privately owned/leased car","Public Transport","Car","Car",5,3,3,1,"Equally per capita",626.77,153.76,41.56,247.33,184.12,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,0,0,0,0,0
"32",9,"S17","0223551_38","Alt2","1/28/2019 13:34","en","1/28/2019 13:26","Female","I prefer to to answer","Married","Employed - full-employed","","Graduate degree (MSc / PhD / etc.)","2","I prefer not to answer","Wormer, Netherlands","Dutch","Yes","yes, a company car","Car","Car","Car",5,5,3,4,"Equally per capita",452.22,92.24,37.61,254.43,67.94,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,0,0,0,0,0
"33",15,"S17","0223551_39","Alt1","1/28/2019 13:45","en","1/28/2019 13:40","Male","25-29 years","Single","Employed - full-employed","","Graduate degree (MSc / PhD / etc.)","3","50,000-60000 €","Munich, Germany","Indian","Yes","no","Public Transport","Walking","Carsharing",5,5,5,3,"Equally per capita",327.63,28.88,28.54,235.92,34.29,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,1,33.3333333333333,0,0,1
"34",23,"S17","0223551_4","Alt1","1/27/2019 21:54","en","1/27/2019 21:42","Male","30-39 years","Single","student (university)","","Graduate degree (MSc / PhD / etc.)","1","10,000-20,000 €","Bonn, Germany","Greek","Yes","no","Public Transport","Walking","Public Transport",2,2,4,2,"Equally per capita",698.63,82.7,47.67,451.76,116.5,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,0,0,0,0,0
"35",19,"S17","0223551_40","Alt3","1/28/2019 13:59","en","1/28/2019 13:45","Male","25-29 years","Single","student (university)","","Graduate degree (MSc / PhD / etc.)","1","20,000-30,000 €","Melbourne, Australia","Greek","Yes","no","Bike","Bike","Public Transport",3,3,5,2,"Based on some measure of need",830.5,62.46,53.08,553.96,161,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,0,0,0,0,0
"36",41,"S17","0223551_42","Alt2","1/28/2019 14:40","en","1/28/2019 14:36","Male","40-49 years","I prefer not to answer","Employed - full-employed","","University degree (Fachhochschul-/Universitätsabschluss)","2",">70000 €","Munich germany","German","Yes","yes, a company car","Car","Car","Car",5,5,2,3,"Based on some measure of need",233.95,71.89,27.44,70.29,64.33,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,1,33.3333333333333,0,1,0
"37",7,"S17","0223551_43","Alt2","1/28/2019 16:28","en","1/28/2019 16:20","Male","25-29 years","Single","Employed - full-employed","","Graduate degree (MSc / PhD / etc.)","4","10,000-20,000 €","Shanghai, China","Chinese ","Yes","no","Car","Car","Car",2,2,5,5,"Based on some measure of need",523.82,149.27,46.52,285.15,42.88,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,1,33.3333333333333,0,0,1
"38",55,"S17","0223551_45","Alt1","1/28/2019 18:01","en","1/28/2019 17:55","Male","18-24 years","Single","Other","Working student (university)","University degree (Fachhochschul-/Universitätsabschluss)","1","10,000-20,000 €","Munich, Germany","Portuguese","No","no","Public Transport","Public Transport","Walking",5,2,4,3,"Based on some measure of need",374.26,105.94,22.21,175.93,70.18,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,1,33.3333333333333,1,0,0
"39",63,"S17","0223551_47","Alt1","1/28/2019 19:20","en","1/28/2019 19:12","Male","18-24 years","Single","student (university)","","Not graduated","4","0-5,000 €","Guwahati, India","Indian","No","no","Public Transport","Public Transport","Carsharing",3,1,5,5,"Equally per capita",522.77,68.15,71.3,327.44,55.88,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,0,0,0,0,0
"40",31,"S17","0223551_48","Alt1","1/28/2019 19:29","en","1/28/2019 19:16","Male","18-24 years","Single","unemployed","","University degree (Fachhochschul-/Universitätsabschluss)","4","10,000-20,000 €","Guwahati, India","Indian","Yes","no","Public Transport","Car","Car",3,3,4,4,"Equally per capita",508.99,236.83,34.79,150.41,86.96,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,0,0,0,0,0
"41",69,"S17","0223551_49","Alt1","1/28/2019 19:25","en","1/28/2019 19:19","Male","18-24 years","Single","unemployed","","Graduate degree (MSc / PhD / etc.)","4","0-5,000 €","Guwahati, India","Indian","Yes","no","Public Transport","Public Transport","Public Transport",3,5,5,4,"Based on some measure of need",318.52,100.89,24.72,114.39,78.52,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,1,33.3333333333333,0,1,0
"42",47,"S17","0223551_5","Alt3","1/27/2019 21:53","en","1/27/2019 21:50","Male","25-29 years","Single","Employed - full-employed","","High school graduated (Fachhochschulreife, Abitur, EOS 12. Klasse bzw. Berufsausbildung mit Abitur)",">4","0-5,000 €","","","Yes","yes, a privately owned/leased car","Car","Walking","Walking",1,2,2,2,"",218.35,97.33,33.99,61.98,25.05,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,2,66.6666666666667,0,1,1
"43",74,"S17","0223551_50","Alt1","1/28/2019 20:11","en","1/28/2019 20:06","Male","25-29 years","Single","student (university)","","University degree (Fachhochschul-/Universitätsabschluss)","1","20,000-30,000 €","Lowell, Massachusetts, USA","Indian","No","no","Walking","Carsharing","Carsharing",4,2,5,3,"Based on some measure of need",286.7,72.68,28.52,141.33,44.17,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,1,33.3333333333333,0,0,1
"44",52,"S17","0223551_52","Alt1","1/28/2019 20:28","en","1/28/2019 20:23","Male","18-24 years","Single","Employed - full-employed","","University degree (Fachhochschul-/Universitätsabschluss)","4","60000-70000 €","Lowell, United States","American","Yes","yes, a privately owned/leased car","Car","Public Transport","Public Transport",2,2,5,2,"Based on some measure of need",289.66,98.13,13.83,137.74,39.96,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,2,66.6666666666667,1,0,1
"45",61,"S17","0223551_53","Alt1","1/28/2019 20:42","en","1/28/2019 20:34","Male","18-24 years","Single","student (university)","","University degree (Fachhochschul-/Universitätsabschluss)","4","0-5,000 €","Boston , United States","Indian","No","no","Walking","Walking","Public Transport",5,5,5,5,"Based on some measure of need",509.18,91.45,54.01,303.77,59.95,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,0,0,0,0,0
"46",3,"S17","0223551_54","Alt1","1/28/2019 20:40","en","1/28/2019 20:38","Male","18-24 years","Single","unemployed","","Graduated after secondary school (Volks-oder Hauptschule)","4","0-5,000 €","Delhi","Indian","Yes","no","Public Transport","Walking","Public Transport",1,1,1,1,"Equally per capita",155.8,70.85,33.19,33.57,18.19,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,2,66.6666666666667,0,1,1
"47",11,"S17","0223551_56","Alt1","1/28/2019 21:02","en","1/28/2019 20:54","Female","25-29 years","Single","student (university)","","Graduate degree (MSc / PhD / etc.)","1","5,000-10,000 €","Germany - Stuttgart","Tunisian","Yes","no","Bike","Bike","Bike",3,3,4,2,"Based on some measure of need",474.08,149.42,115.08,143.33,66.25,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,0,0,0,0,0
"48",16,"S17","0223551_58","Alt1","1/28/2019 21:30","en","1/28/2019 21:22","Female","18-24 years","Single","student (university)","","Graduated after secondary school (Volks-oder Hauptschule)","4","0-5,000 €","Kolkata, India","Indian","No","no","Public Transport","Public Transport","Walking",1,3,4,3,"",448.04,135.78,52.12,183.9,76.24,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,0,0,0,0,0
"49",14,"S17","0223551_59","Alt3","1/28/2019 21:42","en","1/28/2019 21:34","Male","30-39 years","Single","student (university)","","Graduate degree (MSc / PhD / etc.)","3","0-5,000 €","Munich Germany ","Indian ","No","no","Public Transport","Public Transport","Public Transport",1,1,1,1,"Based on some measure of need",466.97,73.58,19.74,328.83,44.82,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,2,66.6666666666667,1,0,1
"50",75,"S17","0223551_60","Alt1","1/28/2019 21:57","en","1/28/2019 21:51","Male","25-29 years","Single","student (university)","","University degree (Fachhochschul-/Universitätsabschluss)","1","5,000-10,000 €","Germany","German","Yes","no","Public Transport","Public Transport","Public Transport",1,2,1,3,"Based on some measure of need",347.01,53.27,22.09,218.92,52.73,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,1,33.3333333333333,1,0,0
"51",25,"S17","0223551_62","Alt1","1/28/2019 22:14","en","1/28/2019 22:05","Male","25-29 years","Single","student (university)","","Graduate degree (MSc / PhD / etc.)","4","20,000-30,000 €","Lowell, MA","Scottish, Irish, and English","Yes","yes, a privately owned/leased car","Car","Car","Car",3,3,4,4,"",547.03,133.36,51.32,297.17,65.18,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,0,0,0,0,0
"52",46,"S17","0223551_64","Alt1","1/28/2019 23:21","en","1/28/2019 22:28","Female","25-29 years","Single","student (university)","","Graduate degree (MSc / PhD / etc.)","3","10,000-20,000 €","Hamburg Germany","Indian","No","no","Public Transport","Public Transport","Walking",5,5,4,2,"Based on some measure of need",3172.46,216.66,28.47,2675.07,252.26,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,0,0,0,0,0
"53",43,"S17","0223551_65","Alt1","1/28/2019 23:11","en","1/28/2019 23:03","Male","18-24 years","Single","student (university)","","Graduate degree (MSc / PhD / etc.)",">4","5,000-10,000 €","Stuttgart, Germany","Indian","Yes","no","Public Transport","Public Transport","Public Transport",5,4,4,4,"",475.92,118.37,46.56,244.44,66.55,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,0,0,0,0,0
"54",22,"S17","0223551_67","Alt1","1/29/2019 1:40","en","1/29/2019 1:32","Female","18-24 years","Single","student (university)","","Not graduated","4","0-5,000 €","Kolkata, India ","Indian ","No","no","Public Transport","Walking","Public Transport",4,2,5,4,"",466.97,131.66,29.92,225.97,79.42,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,0,0,0,0,0
"55",58,"S17","0223551_69","Alt1","1/29/2019 1:55","en","1/29/2019 1:51","Female","18-24 years","Single","Employed - full-employed","","Graduate degree (MSc / PhD / etc.)","4","60000-70000 €","Guwahati, India ....","Indian","Yes","yes, a privately owned/leased car","Car","Walking","Walking",4,5,5,4,"Based on some measure of need",278.21,44.78,27.44,162.99,43,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,1,33.3333333333333,0,0,1
"56",40,"S17","0223551_7","Alt2","1/27/2019 22:05","en","1/27/2019 22:00","Male","25-29 years","Single","Employed - full-employed","","Graduate degree (MSc / PhD / etc.)","2","40,000-50,000 €","Witten, Germany","Greek","Yes","yes, a company car","Car","Car","Car",1,5,3,3,"Equally per capita",344.34,156.78,76.54,71,40.02,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,2,66.6666666666667,0,1,1
"57",50,"S17","0223551_70","Alt2","1/29/2019 2:30","en","1/29/2019 2:25","Male","30-39 years","Single","Employed - full-employed","","Graduate degree (MSc / PhD / etc.)","1","20,000-30,000 €","Bangalore, India","Indian","No","no","Bike","Bike","Bike",1,2,4,5,"Based on some measure of need",310.82,111.24,19,136.45,44.13,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,2,66.6666666666667,1,0,1
"58",77,"S17","0223551_71","Alt3","1/29/2019 2:46","en","1/29/2019 2:42","Female","25-29 years","Single","retired","","Graduated after secondary school (Volks-oder Hauptschule)","4","5,000-10,000 €","Lowell, Massachusetts","Indian","No","no","Public Transport","Public Transport","Public Transport",2,2,5,1,"Based on some measure of need",206.47,79.04,23.29,58.28,45.86,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,1,33.3333333333333,0,1,0
"59",73,"S17","0223551_72","Alt1","1/29/2019 3:05","en","1/29/2019 2:58","Male","25-29 years","Single","Employed - full-employed","","Graduated after secondary school (Volks-oder Hauptschule)","4","5,000-10,000 €","Silchar, India","Indian","Yes","no","Bike","Bike","Walking",2,2,4,4,"Based on some measure of need",415.03,125.15,32.84,202.74,54.3,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,0,0,0,0,0
"60",70,"S17","0223551_73","Alt3","1/29/2019 3:24","en","1/29/2019 3:21","Male","25-29 years","Single","Employed - full-employed","","University degree (Fachhochschul-/Universitätsabschluss)","4","20,000-30,000 €","Noida, India","Indian","Yes","no","Public Transport","Public Transport","Public Transport",5,5,3,5,"Based on some measure of need",168.25,74.33,24.17,41.39,28.36,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,2,66.6666666666667,0,1,1
